Study area,Region,Area,Transect,Length,Distance,Cluser Size,Object,Oberver,Detected,Sex,Exposure
GolfteesExercise,1,1680,1,210,0.83,5,25,2,1,0,1
GolfteesExercise,1,1680,1,210,3.83,2,26,1,0,1,1
GolfteesExercise,1,1680,1,210,3.83,2,26,2,1,1,1
GolfteesExercise,1,1680,1,210,3.46,4,27,1,0,1,1
GolfteesExercise,1,1680,1,210,3.46,4,27,2,1,1,1
GolfteesExercise,1,1680,1,210,3.76,4,28,1,0,1,1
GolfteesExercise,1,1680,1,210,3.76,4,28,2,1,1,1
GolfteesExercise,1,1680,1,210,2.98,2,29,1,0,0,1
GolfteesExercise,1,1680,1,210,2.98,2,29,2,1,0,1
GolfteesExercise,1,1680,1,210,3.72,3,30,1,0,1,0
GolfteesExercise,1,1680,1,210,3.72,3,30,2,1,1,0
GolfteesExercise,1,1680,1,210,1.78,1,31,1,0,0,1
GolfteesExercise,1,1680,1,210,1.78,1,31,2,1,0,1
GolfteesExercise,1,1680,1,210,1.83,5,32,1,0,0,0
GolfteesExercise,1,1680,1,210,1.83,5,32,2,1,0,0
GolfteesExercise,1,1680,1,210,2.43,3,33,1,0,1,0
GolfteesExercise,1,1680,1,210,2.43,3,33,2,1,1,0
GolfteesExercise,1,1680,1,210,3.14,1,34,1,0,1,0
GolfteesExercise,1,1680,1,210,3.14,1,34,2,1,1,0
GolfteesExercise,1,1680,1,210,2.3,1,35,1,0,0,1
GolfteesExercise,1,1680,1,210,2.3,1,35,2,1,0,1
GolfteesExercise,1,1680,1,210,3.67,4,36,1,0,1,0
GolfteesExercise,1,1680,1,210,3.67,4,36,2,1,1,0
GolfteesExercise,1,1680,1,210,2.65,2,37,1,0,1,0
GolfteesExercise,1,1680,1,210,2.65,2,37,2,1,1,0
GolfteesExercise,1,1680,1,210,3.84,1,38,1,0,1,1
GolfteesExercise,1,1680,1,210,3.84,1,38,2,1,1,1
GolfteesExercise,1,1680,1,210,1.19,5,39,1,0,1,0
GolfteesExercise,1,1680,1,210,1.19,5,39,2,1,1,0
GolfteesExercise,1,1680,1,210,1.56,3,40,1,0,1,0
GolfteesExercise,1,1680,1,210,1.56,3,40,2,1,1,0
GolfteesExercise,1,1680,1,210,3.15,3,41,1,0,0,1
GolfteesExercise,1,1680,1,210,3.15,3,41,2,1,0,1
GolfteesExercise,1,1680,1,210,0.36,2,42,1,0,0,0
GolfteesExercise,1,1680,1,210,0.36,2,42,2,1,0,0
GolfteesExercise,1,1680,1,210,2.91,3,43,1,0,1,0
GolfteesExercise,1,1680,1,210,2.91,3,43,2,1,1,0
GolfteesExercise,1,1680,1,210,2.41,5,44,1,0,0,0
GolfteesExercise,1,1680,1,210,2.41,5,44,2,1,0,0
GolfteesExercise,1,1680,1,210,3.24,4,45,1,0,0,1
GolfteesExercise,1,1680,1,210,3.24,4,45,2,1,0,1
GolfteesExercise,1,1680,1,210,2.78,5,46,1,0,0,1
GolfteesExercise,1,1680,1,210,2.78,5,46,2,1,0,1
GolfteesExercise,1,1680,1,210,2.85,3,47,1,0,1,1
GolfteesExercise,1,1680,1,210,2.85,3,47,2,1,1,1
GolfteesExercise,1,1680,1,210,2.22,4,48,1,0,0,0
GolfteesExercise,1,1680,1,210,2.22,4,48,2,1,0,0
GolfteesExercise,1,1680,1,210,0.47,3,49,1,0,0,0
GolfteesExercise,1,1680,1,210,0.47,3,49,2,1,0,0
GolfteesExercise,1,1680,1,210,1.79,4,50,1,0,0,0
GolfteesExercise,1,1680,1,210,1.79,4,50,2,1,0,0
GolfteesExercise,1,1680,1,210,1.38,2,51,1,0,0,0
GolfteesExercise,1,1680,1,210,1.38,2,51,2,1,0,0
GolfteesExercise,1,1680,1,210,1.39,5,52,1,0,0,1
GolfteesExercise,1,1680,1,210,1.39,5,52,2,1,0,1
GolfteesExercise,1,1680,1,210,3.65,5,53,1,0,0,1
GolfteesExercise,1,1680,1,210,3.65,5,53,2,1,0,1
GolfteesExercise,1,1680,1,210,1.49,4,54,1,0,0,0
GolfteesExercise,1,1680,1,210,1.49,4,54,2,1,0,0
GolfteesExercise,1,1680,1,210,1.71,3,55,1,0,1,0
GolfteesExercise,1,1680,1,210,1.71,3,55,2,1,1,0
GolfteesExercise,1,1680,1,210,2.41,1,56,1,0,1,1
GolfteesExercise,1,1680,1,210,2.41,1,56,2,1,1,1
GolfteesExercise,1,1680,1,210,1.29,1,57,1,0,0,0
GolfteesExercise,1,1680,1,210,1.29,1,57,2,1,0,0
GolfteesExercise,1,1680,1,210,2.95,3,58,1,0,1,0
GolfteesExercise,1,1680,1,210,2.95,3,58,2,1,1,0
GolfteesExercise,1,1680,1,210,2.19,1,59,1,1,1,1
GolfteesExercise,1,1680,1,210,2.19,1,59,2,1,1,1
GolfteesExercise,1,1680,1,210,1.27,3,60,1,1,1,0
GolfteesExercise,1,1680,1,210,1.27,3,60,2,1,1,0
GolfteesExercise,1,1680,1,210,0.45,2,61,1,1,1,1
GolfteesExercise,1,1680,1,210,0.45,2,61,2,1,1,1
GolfteesExercise,1,1680,1,210,0.66,1,62,1,1,1,1
GolfteesExercise,1,1680,1,210,0.66,1,62,2,1,1,1
GolfteesExercise,1,1680,1,210,2.74,5,63,1,1,1,1
GolfteesExercise,1,1680,1,210,2.74,5,63,2,1,1,1
GolfteesExercise,1,1680,1,210,2.09,3,64,1,1,0,1
GolfteesExercise,1,1680,1,210,2.09,3,64,2,1,0,1
GolfteesExercise,1,1680,1,210,1.38,2,65,1,1,1,1
GolfteesExercise,1,1680,1,210,1.38,2,65,2,1,1,1
GolfteesExercise,1,1680,1,210,1.91,2,66,1,1,1,1
GolfteesExercise,1,1680,1,210,1.91,2,66,2,1,1,1
GolfteesExercise,1,1680,1,210,0.23,3,67,1,1,1,0
GolfteesExercise,1,1680,1,210,0.23,3,67,2,1,1,0
GolfteesExercise,1,1680,1,210,1.21,2,68,1,1,1,1
GolfteesExercise,1,1680,1,210,1.21,2,68,2,1,1,1
GolfteesExercise,1,1680,1,210,3.01,5,69,1,1,0,1
GolfteesExercise,1,1680,1,210,3.01,5,69,2,1,0,1
GolfteesExercise,1,1680,1,210,1.44,3,70,1,1,1,1
GolfteesExercise,1,1680,1,210,1.44,3,70,2,1,1,1
GolfteesExercise,1,1680,1,210,2.46,2,71,1,1,1,1
GolfteesExercise,1,1680,1,210,2.46,2,71,2,1,1,1
GolfteesExercise,1,1680,1,210,0.11,8,72,1,1,0,1
GolfteesExercise,1,1680,1,210,0.11,8,72,2,1,0,1
GolfteesExercise,1,1680,1,210,2.88,2,73,1,1,1,1
GolfteesExercise,1,1680,1,210,2.88,2,73,2,1,1,1
GolfteesExercise,1,1680,1,210,0.28,2,74,1,1,1,1
GolfteesExercise,1,1680,1,210,0.28,2,74,2,1,1,1
GolfteesExercise,1,1680,1,210,1.37,4,75,1,1,1,1
GolfteesExercise,1,1680,1,210,1.37,4,75,2,1,1,1
GolfteesExercise,1,1680,1,210,2.4,3,76,1,1,1,1
GolfteesExercise,1,1680,1,210,2.4,3,76,2,1,1,1
GolfteesExercise,1,1680,1,210,1.12,1,77,1,1,0,1
GolfteesExercise,1,1680,1,210,1.12,1,77,2,1,0,1
GolfteesExercise,1,1680,1,210,0.01,6,78,1,1,1,0
GolfteesExercise,1,1680,1,210,0.01,6,78,2,1,1,0
GolfteesExercise,1,1680,1,210,1.62,2,79,1,1,1,0
GolfteesExercise,1,1680,1,210,1.62,2,79,2,1,1,0
GolfteesExercise,1,1680,1,210,1.19,6,80,1,1,1,1
GolfteesExercise,1,1680,1,210,1.19,6,80,2,1,1,1
GolfteesExercise,1,1680,1,210,0.91,2,81,1,1,1,1
GolfteesExercise,1,1680,1,210,0.91,2,81,2,1,1,1
GolfteesExercise,1,1680,1,210,0.91,2,82,1,1,1,1
GolfteesExercise,1,1680,1,210,0.91,2,82,2,1,1,1
GolfteesExercise,1,1680,1,210,1.95,4,83,1,1,1,1
GolfteesExercise,1,1680,1,210,1.95,4,83,2,1,1,1
GolfteesExercise,1,1680,1,210,0.07,1,84,1,1,1,0
GolfteesExercise,1,1680,1,210,0.07,1,84,2,1,1,0
GolfteesExercise,1,1680,1,210,0.46,1,85,1,1,0,1
GolfteesExercise,1,1680,1,210,0.46,1,85,2,1,0,1
GolfteesExercise,1,1680,1,210,1.24,5,86,1,1,1,0
GolfteesExercise,1,1680,1,210,1.24,5,86,2,1,1,0
GolfteesExercise,1,1680,1,210,2.32,7,87,1,1,1,1
GolfteesExercise,1,1680,1,210,2.32,7,87,2,1,1,1
GolfteesExercise,1,1680,1,210,2.33,4,88,1,1,1,0
GolfteesExercise,1,1680,1,210,2.33,4,88,2,1,1,0
GolfteesExercise,1,1680,1,210,0.68,3,89,1,1,1,1
GolfteesExercise,1,1680,1,210,0.68,3,89,2,1,1,1
GolfteesExercise,1,1680,1,210,0.68,6,90,1,1,1,1
GolfteesExercise,1,1680,1,210,0.68,6,90,2,1,1,1
GolfteesExercise,1,1680,1,210,2.99,4,91,1,1,1,1
GolfteesExercise,1,1680,1,210,2.99,4,91,2,1,1,1
GolfteesExercise,1,1680,1,210,1.76,2,92,1,1,0,1
GolfteesExercise,1,1680,1,210,1.76,2,92,2,1,0,1
GolfteesExercise,1,1680,1,210,0.2,4,93,1,1,1,0
GolfteesExercise,1,1680,1,210,0.2,4,93,2,1,1,0
GolfteesExercise,1,1680,1,210,0.01,5,94,1,1,0,1
GolfteesExercise,1,1680,1,210,0.01,5,94,2,1,0,1
GolfteesExercise,1,1680,1,210,0.12,2,95,1,1,1,1
GolfteesExercise,1,1680,1,210,0.12,2,95,2,1,1,1
GolfteesExercise,1,1680,1,210,1.33,3,96,1,1,1,1
GolfteesExercise,1,1680,1,210,1.33,3,96,2,1,1,1
GolfteesExercise,1,1680,1,210,0.58,1,97,1,1,0,1
GolfteesExercise,1,1680,1,210,0.58,1,97,2,1,0,1
GolfteesExercise,1,1680,1,210,1.14,1,98,1,1,0,1
GolfteesExercise,1,1680,1,210,1.14,1,98,2,1,0,1
GolfteesExercise,1,1680,1,210,2.14,4,99,1,1,0,1
GolfteesExercise,1,1680,1,210,2.14,4,99,2,1,0,1
GolfteesExercise,1,1680,1,210,0.88,6,100,1,1,0,1
GolfteesExercise,1,1680,1,210,0.88,6,100,2,1,0,1
GolfteesExercise,1,1680,1,210,2.91,3,101,1,1,1,1
GolfteesExercise,1,1680,1,210,2.91,3,101,2,1,1,1
GolfteesExercise,1,1680,1,210,0.15,4,102,1,1,1,1
GolfteesExercise,1,1680,1,210,0.15,4,102,2,1,1,1
GolfteesExercise,1,1680,1,210,0.93,1,103,1,1,0,1
GolfteesExercise,1,1680,1,210,0.93,1,103,2,1,0,1
GolfteesExercise,1,1680,1,210,1.26,4,104,1,1,0,1
GolfteesExercise,1,1680,1,210,1.26,4,104,2,1,0,1
GolfteesExercise,1,1680,1,210,1.12,5,105,1,1,1,0
GolfteesExercise,1,1680,1,210,1.12,5,105,2,1,1,0
GolfteesExercise,1,1680,1,210,1.83,1,106,1,1,1,1
GolfteesExercise,1,1680,1,210,1.83,1,106,2,1,1,1
GolfteesExercise,1,1680,1,210,2.46,4,107,1,1,1,1
GolfteesExercise,1,1680,1,210,2.46,4,107,2,1,1,1
GolfteesExercise,1,1680,1,210,1.78,4,108,1,1,1,1
GolfteesExercise,1,1680,1,210,1.78,4,108,2,1,1,1
GolfteesExercise,1,1680,1,210,0.1,2,109,1,1,1,0
GolfteesExercise,1,1680,1,210,0.1,2,109,2,1,1,0
GolfteesExercise,1,1680,1,210,1.32,2,110,1,1,1,0
GolfteesExercise,1,1680,1,210,1.32,2,110,2,1,1,0
GolfteesExercise,1,1680,1,210,1.44,5,111,1,1,1,1
GolfteesExercise,1,1680,1,210,1.44,5,111,2,1,1,1
GolfteesExercise,1,1680,1,210,1.03,1,112,1,1,1,0
GolfteesExercise,1,1680,1,210,1.03,1,112,2,1,1,0
GolfteesExercise,1,1680,1,210,0.56,6,113,1,1,1,1
GolfteesExercise,1,1680,1,210,0.56,6,113,2,1,1,1
GolfteesExercise,1,1680,1,210,2.74,4,114,1,1,1,1
GolfteesExercise,1,1680,1,210,2.74,4,114,2,1,1,1
GolfteesExercise,1,1680,1,210,0.68,2,115,1,1,0,1
GolfteesExercise,1,1680,1,210,0.68,2,115,2,1,0,1
GolfteesExercise,1,1680,1,210,1.31,3,116,1,1,1,0
GolfteesExercise,1,1680,1,210,1.31,3,116,2,1,1,0
GolfteesExercise,1,1680,1,210,3.38,4,117,1,1,1,1
GolfteesExercise,1,1680,1,210,3.38,4,117,2,1,1,1
GolfteesExercise,1,1680,1,210,0.28,6,118,1,1,1,0
GolfteesExercise,1,1680,1,210,0.28,6,118,2,1,1,0
GolfteesExercise,1,1680,1,210,0.78,4,119,1,1,1,0
GolfteesExercise,1,1680,1,210,0.78,4,119,2,1,1,0
GolfteesExercise,1,1680,1,210,2.47,2,120,1,1,0,1
GolfteesExercise,1,1680,1,210,2.47,2,120,2,1,0,1
GolfteesExercise,1,1680,1,210,3.63,1,121,1,1,1,1
GolfteesExercise,1,1680,1,210,3.63,1,121,2,1,1,1
GolfteesExercise,1,1680,1,210,2.25,3,122,1,1,1,1
GolfteesExercise,1,1680,1,210,2.25,3,122,2,1,1,1
GolfteesExercise,1,1680,1,210,1.76,3,123,1,1,0,1
GolfteesExercise,1,1680,1,210,1.76,3,123,2,1,0,1
GolfteesExercise,1,1680,1,210,1.49,2,124,1,1,1,1
GolfteesExercise,1,1680,1,210,1.49,2,124,2,1,1,1
GolfteesExercise,1,1680,1,210,2.69,2,125,1,1,1,1
GolfteesExercise,1,1680,1,210,2.69,2,125,2,1,1,1
GolfteesExercise,1,1680,1,210,0.25,2,126,1,1,1,1
GolfteesExercise,1,1680,1,210,0.25,2,126,2,1,1,1
GolfteesExercise,1,1680,1,210,0.69,2,127,1,1,1,1
GolfteesExercise,1,1680,1,210,0.69,2,127,2,1,1,1
GolfteesExercise,1,1680,1,210,0.02,2,128,1,1,0,1
GolfteesExercise,1,1680,1,210,0.02,2,128,2,1,0,1
GolfteesExercise,1,1680,1,210,1.17,6,129,1,1,0,1
GolfteesExercise,1,1680,1,210,1.17,6,129,2,1,0,1
GolfteesExercise,1,1680,1,210,0.03,4,130,1,1,1,1
GolfteesExercise,1,1680,1,210,0.03,4,130,2,1,1,1
GolfteesExercise,1,1680,1,210,1.43,4,131,1,1,1,0
GolfteesExercise,1,1680,1,210,1.43,4,131,2,1,1,0
GolfteesExercise,1,1680,1,210,0.67,2,132,1,1,1,1
GolfteesExercise,1,1680,1,210,0.67,2,132,2,1,1,1
GolfteesExercise,1,1680,1,210,2.3,4,133,1,1,1,0
GolfteesExercise,1,1680,1,210,2.3,4,133,2,1,1,0
GolfteesExercise,1,1680,1,210,1.27,3,134,1,1,0,1
GolfteesExercise,1,1680,1,210,1.27,3,134,2,1,0,1
GolfteesExercise,1,1680,1,210,0.29,3,135,1,1,1,0
GolfteesExercise,1,1680,1,210,0.29,3,135,2,1,1,0
GolfteesExercise,1,1680,1,210,0.3,3,136,1,1,1,1
GolfteesExercise,1,1680,1,210,0.3,3,136,2,1,1,1
GolfteesExercise,1,1680,1,210,1.93,3,137,1,1,1,1
GolfteesExercise,1,1680,1,210,1.93,3,137,2,1,1,1
GolfteesExercise,1,1680,1,210,0.08,1,138,1,1,0,1
GolfteesExercise,1,1680,1,210,0.08,1,138,2,1,0,1
GolfteesExercise,1,1680,1,210,0.55,3,139,1,1,0,1
GolfteesExercise,1,1680,1,210,0.55,3,139,2,1,0,1
GolfteesExercise,1,1680,1,210,1.55,4,140,1,1,1,1
GolfteesExercise,1,1680,1,210,1.55,4,140,2,1,1,1
GolfteesExercise,1,1680,1,210,1.14,4,141,1,1,1,1
GolfteesExercise,1,1680,1,210,1.14,4,141,2,1,1,1
GolfteesExercise,1,1680,1,210,0.78,1,142,1,1,0,0
GolfteesExercise,1,1680,1,210,0.78,1,142,2,1,0,0
GolfteesExercise,1,1680,1,210,0.22,2,143,1,1,1,1
GolfteesExercise,1,1680,1,210,0.22,2,143,2,1,1,1
GolfteesExercise,1,1680,1,210,1.22,7,144,1,1,0,1
GolfteesExercise,1,1680,1,210,1.22,7,144,2,1,0,1
GolfteesExercise,1,1680,1,210,2.96,3,145,1,1,1,0
GolfteesExercise,1,1680,1,210,2.96,3,145,2,1,1,0
GolfteesExercise,1,1680,1,210,1,5,146,1,1,0,1
GolfteesExercise,1,1680,1,210,1,5,146,2,1,0,1
GolfteesExercise,1,1680,1,210,2.74,4,147,1,1,1,1
GolfteesExercise,1,1680,1,210,2.74,4,147,2,1,1,1
GolfteesExercise,1,1680,1,210,0.11,1,148,1,1,0,1
GolfteesExercise,1,1680,1,210,0.11,1,148,2,1,0,1
GolfteesExercise,1,1680,1,210,1.6,2,149,1,1,1,1
GolfteesExercise,1,1680,1,210,1.6,2,149,2,1,1,1
GolfteesExercise,1,1680,1,210,1.6,8,150,1,1,1,1
GolfteesExercise,1,1680,1,210,1.6,8,150,2,1,1,1
GolfteesExercise,1,1680,1,210,1.02,1,151,1,1,1,0
GolfteesExercise,1,1680,1,210,1.02,1,151,2,1,1,0
GolfteesExercise,1,1680,1,210,1.47,5,152,1,1,0,1
GolfteesExercise,1,1680,1,210,1.47,5,152,2,1,0,1
GolfteesExercise,1,1680,1,210,0.86,3,153,1,1,0,1
GolfteesExercise,1,1680,1,210,0.86,3,153,2,1,0,1
GolfteesExercise,1,1680,1,210,0.41,3,154,1,1,1,1
GolfteesExercise,1,1680,1,210,0.41,3,154,2,1,1,1
GolfteesExercise,1,1680,1,210,2.48,1,155,1,1,0,1
GolfteesExercise,1,1680,1,210,2.48,1,155,2,1,0,1
GolfteesExercise,1,1680,1,210,0.25,3,156,1,1,0,1
GolfteesExercise,1,1680,1,210,0.25,3,156,2,1,0,1
GolfteesExercise,1,1680,1,210,1.15,2,157,1,1,1,1
GolfteesExercise,1,1680,1,210,1.15,2,157,2,1,1,1
GolfteesExercise,1,1680,1,210,1,6,158,1,1,1,0
GolfteesExercise,1,1680,1,210,1,6,158,2,1,1,0
GolfteesExercise,1,1680,1,210,0.47,5,159,1,1,0,1
GolfteesExercise,1,1680,1,210,0.47,5,159,2,1,0,1
GolfteesExercise,1,1680,1,210,2.61,3,160,1,1,1,1
GolfteesExercise,1,1680,1,210,2.61,3,160,2,1,1,1
GolfteesExercise,1,1680,1,210,0.11,1,161,1,1,0,1
GolfteesExercise,1,1680,1,210,0.11,1,161,2,1,0,1
GolfteesExercise,1,1680,1,210,1.41,4,162,1,1,1,0
GolfteesExercise,1,1680,1,210,1.41,4,162,2,1,1,0
