Study area,Region,Area,Point transect,Distance,Observer,MAS,HAS
Kana,Jul-92,0,24,30,SGF,199,3
Kana,Jul-92,0,24,25,SGF,199,3
Kana,Jul-92,0,24,9,SGF,199,3
Kana,Jul-92,0,25,50,TKP,66,1
Kana,Jul-92,0,25,100,TKP,66,1
Kana,Jul-92,0,25,70,TKP,66,1
Kana,Jul-92,0,25,40,TKP,66,1
Kana,Jul-92,0,25,17,TKP,66,1
Kana,Jul-92,0,26,40,TKP,78,1
Kana,Jul-92,0,26,50,TKP,78,1
Kana,Jul-92,0,26,20,TKP,78,1
Kana,Jul-92,0,26,100,TKP,78,1
Kana,Jul-92,0,26,150,TKP,78,1
Kana,Jul-92,0,27,40,TKP,91,2
Kana,Jul-92,0,27,50,TKP,91,2
Kana,Jul-92,0,27,70,TKP,91,2
Kana,Jul-92,0,27,15,TKP,91,2
Kana,Jul-92,0,27,17,TKP,91,2
Kana,Jul-92,0,28,8,TKP,105,2
Kana,Jul-92,0,28,10,TKP,105,2
Kana,Jul-92,0,28,70,TKP,105,2
Kana,Jul-92,0,29,20,TKP,116,2
Kana,Jul-92,0,29,11,TKP,116,2
Kana,Jul-92,0,29,50,TKP,116,2
Kana,Jul-92,0,30,50,TKP,126,2
Kana,Jul-92,0,30,60,TKP,126,2
Kana,Jul-92,0,30,20,TKP,126,2
Kana,Jul-92,0,31,40,TKP,140,2
Kana,Jul-92,0,31,50,TKP,140,2
Kana,Jul-92,0,31,20,TKP,140,2
Kana,Jul-92,0,31,70,TKP,140,2
Kana,Jul-92,0,32,25,TKP,150,2
Kana,Jul-92,0,32,30,TKP,150,2
Kana,Jul-92,0,32,50,TKP,150,2
Kana,Jul-92,0,32,25,TKP,150,2
Kana,Jul-92,0,32,70,TKP,150,2
Kana,Jul-92,0,33,130,TKP,160,3
Kana,Jul-92,0,33,40,TKP,160,3
Kana,Jul-92,0,33,60,TKP,160,3
Kana,Jul-92,0,33,40,TKP,160,3
Kana,Jul-92,0,34,10,TKP,171,3
Kana,Jul-92,0,34,27,TKP,171,3
Kana,Jul-92,0,34,27,TKP,171,3
Kana,Jul-92,0,34,3,TKP,171,3
Kana,Jul-92,0,34,25,TKP,171,3
Kana,Jul-92,0,34,20,TKP,171,3
Kana,Jul-92,0,35,12,TKP,190,3
Kana,Jul-92,0,35,13,TKP,190,3
Kana,Jul-92,0,35,25,TKP,190,3
Kana,Jul-92,0,35,60,TKP,190,3
Kana,Jul-92,0,36,90,TKP,266,4
Kana,Jul-92,0,36,10,TKP,266,4
Kana,Jul-92,0,36,25,TKP,266,4
Kana,Jul-92,0,37,90,TKP,253,4
Kana,Jul-92,0,37,60,TKP,253,4
Kana,Jul-92,0,37,70,TKP,253,4
Kana,Jul-92,0,37,35,TKP,253,4
Kana,Jul-92,0,37,25,TKP,253,4
Kana,Jul-92,0,37,15,TKP,253,4
Kana,Jul-92,0,38,40,TKP,242,4
Kana,Jul-92,0,38,50,TKP,242,4
Kana,Jul-92,0,38,5,TKP,242,4
Kana,Jul-92,0,39,30,TKP,228,4
Kana,Jul-92,0,39,40,TKP,228,4
Kana,Jul-92,0,39,30,TKP,228,4
Kana,Jul-92,0,39,35,TKP,228,4
Kana,Jul-92,0,40,25,TKP,216,4
Kana,Jul-92,0,40,100,TKP,216,4
Kana,Jul-92,0,40,25,TKP,216,4
Kana,Jul-92,0,40,15,TKP,216,4
Kana,Jul-92,0,40,100,TKP,216,4
Kana,Jul-92,0,41,30,TKP,205,3
Kana,Jul-92,0,41,35,TKP,205,3
Kana,Jul-92,0,41,40,TKP,205,3
Kana,Jul-92,0,41,70,TKP,205,3
Kana,Jul-92,0,41,30,TKP,205,3
Kana,Dec-92,0,1,35,SGF,136,2
Kana,Dec-92,0,2,50,SGF,147,2
Kana,Dec-92,0,3,,,,
Kana,Dec-92,0,4,30,SGF,169,3
Kana,Dec-92,0,4,30,SGF,169,3
Kana,Dec-92,0,4,15,SGF,169,3
Kana,Dec-92,0,5,75,SGF,181,3
Kana,Dec-92,0,6,70,SGF,192,3
Kana,Dec-92,0,6,75,SGF,192,3
Kana,Dec-92,0,7,70,SGF,202,3
Kana,Dec-92,0,7,80,SGF,202,3
Kana,Dec-92,0,7,80,SGF,202,3
Kana,Dec-92,0,7,65,SGF,202,3
Kana,Dec-92,0,7,50,SGF,202,3
Kana,Dec-92,0,7,35,SGF,202,3
Kana,Dec-92,0,8,28,SGF,214,4
Kana,Dec-92,0,8,27,SGF,214,4
Kana,Dec-92,0,8,100,SGF,214,4
Kana,Dec-92,0,9,22,SGF,223,4
Kana,Dec-92,0,9,28,SGF,223,4
Kana,Dec-92,0,9,80,SGF,223,4
Kana,Dec-92,0,9,85,SGF,223,4
Kana,Dec-92,0,9,90,SGF,223,4
Kana,Dec-92,0,10,30,SGF,234,4
Kana,Dec-92,0,10,30,SGF,234,4
Kana,Dec-92,0,10,4,SGF,234,4
Kana,Dec-92,0,10,12,SGF,234,4
Kana,Dec-92,0,10,9,SGF,234,4
Kana,Dec-92,0,10,30,SGF,234,4
Kana,Dec-92,0,11,,,,
Kana,Dec-92,0,13,28,SGF,122,2
Kana,Dec-92,0,13,30,SGF,122,2
Kana,Dec-92,0,13,50,SGF,122,2
Kana,Dec-92,0,14,90,SGF,111,2
Kana,Dec-92,0,14,85,SGF,111,2
Kana,Dec-92,0,14,50,SGF,111,2
Kana,Dec-92,0,14,35,SGF,111,2
Kana,Dec-92,0,14,32,SGF,111,2
Kana,Dec-92,0,14,30,SGF,111,2
Kana,Dec-92,0,15,110,SGF,98,2
Kana,Dec-92,0,15,75,SGF,98,2
Kana,Dec-92,0,15,95,SGF,98,2
Kana,Dec-92,0,15,85,SGF,98,2
Kana,Dec-92,0,16,50,SGF,87,1
Kana,Dec-92,0,16,45,SGF,87,1
Kana,Dec-92,0,17,77,SGF,71,1
Kana,Dec-92,0,17,75,SGF,71,1
Kana,Dec-92,0,17,65,SGF,71,1
Kana,Dec-92,0,18,18,SGF,58,1
Kana,Dec-92,0,18,75,SGF,58,1
Kana,Dec-92,0,18,65,SGF,58,1
Kana,Dec-92,0,19,55,SGF,44,1
Kana,Dec-92,0,19,45,SGF,44,1
Kana,Dec-92,0,19,35,SGF,44,1
Kana,Dec-92,0,20,55,SGF,33,1
Kana,Dec-92,0,20,90,SGF,33,1
Kana,Dec-92,0,21,65,SGF,23,0
Kana,Dec-92,0,21,22,SGF,23,0
Kana,Dec-92,0,22,70,SGF,13,0
Kana,Dec-92,0,22,110,SGF,13,0
Kana,Dec-92,0,22,85,SGF,13,0
Kana,Dec-92,0,23,80,SGF,2,0
Kana,Dec-92,0,23,85,SGF,2,0
Kana,Dec-92,0,23,90,SGF,2,0
Kana,Dec-92,0,23,35,SGF,2,0
Kana,Dec-92,0,24,60,SGF,-11,0
Kana,Dec-92,0,24,65,SGF,-11,0
Kana,Dec-92,0,24,55,SGF,-11,0
Kana,Dec-92,0,24,15,SGF,-11,0
Kana,Dec-92,0,25,12,TJS,81,1
Kana,Dec-92,0,25,12,TJS,81,1
Kana,Dec-92,0,25,38,TJS,81,1
Kana,Dec-92,0,25,80,TJS,81,1
Kana,Dec-92,0,25,42,TJS,81,1
Kana,Dec-92,0,25,28,TJS,81,1
Kana,Dec-92,0,26,42,TJS,93,2
Kana,Dec-92,0,26,12,TJS,93,2
Kana,Dec-92,0,26,9,TJS,93,2
Kana,Dec-92,0,26,36,TJS,93,2
Kana,Dec-92,0,26,48,TJS,93,2
Kana,Dec-92,0,26,90,TJS,93,2
Kana,Dec-92,0,26,70,TJS,93,2
Kana,Dec-92,0,27,43,TJS,107,2
Kana,Dec-92,0,27,88,TJS,107,2
Kana,Dec-92,0,27,32,TJS,107,2
Kana,Dec-92,0,27,48,TJS,107,2
Kana,Dec-92,0,27,64,TJS,107,2
Kana,Dec-92,0,27,19,TJS,107,2
Kana,Dec-92,0,27,21,TJS,107,2
Kana,Dec-92,0,28,32,TJS,118,2
Kana,Dec-92,0,28,26,TJS,118,2
Kana,Dec-92,0,28,75,TJS,118,2
Kana,Dec-92,0,28,65,TJS,118,2
Kana,Dec-92,0,28,18,TJS,118,2
Kana,Dec-92,0,28,12,TJS,118,2
Kana,Dec-92,0,29,29,TJS,129,2
Kana,Dec-92,0,29,37,TJS,129,2
Kana,Dec-92,0,29,22,TJS,129,2
Kana,Dec-92,0,30,56,TJS,141,2
Kana,Dec-92,0,30,43,TJS,141,2
Kana,Dec-92,0,30,65,TJS,141,2
Kana,Dec-92,0,30,32,TJS,141,2
Kana,Dec-92,0,30,16,TJS,141,2
Kana,Dec-92,0,31,56,TJS,156,3
Kana,Dec-92,0,31,42,TJS,156,3
Kana,Dec-92,0,31,21,TJS,156,3
Kana,Dec-92,0,31,23,TJS,156,3
Kana,Dec-92,0,31,32,TJS,156,3
Kana,Dec-92,0,32,38,TJS,167,3
Kana,Dec-92,0,32,72,TJS,167,3
Kana,Dec-92,0,32,64,TJS,167,3
Kana,Dec-92,0,32,52,TJS,167,3
Kana,Dec-92,0,32,28,TJS,167,3
Kana,Dec-92,0,32,7,TJS,167,3
Kana,Dec-92,0,32,5,TJS,167,3
Kana,Dec-92,0,33,85,TJS,178,3
Kana,Dec-92,0,33,48,TJS,178,3
Kana,Dec-92,0,33,36,TJS,178,3
Kana,Dec-92,0,33,62,TJS,178,3
Kana,Dec-92,0,33,42,TJS,178,3
Kana,Dec-92,0,34,21,TJS,188,3
Kana,Dec-92,0,34,19,TJS,188,3
Kana,Dec-92,0,34,85,TJS,188,3
Kana,Dec-92,0,34,8,TJS,188,3
Kana,Dec-92,0,34,22,TJS,188,3
Kana,Dec-92,0,34,43,TJS,188,3
Kana,Dec-92,0,35,26,TJS,199,3
Kana,Dec-92,0,35,38,TJS,199,3
Kana,Dec-92,0,35,46,TJS,199,3
Kana,Dec-92,0,35,48,TJS,199,3
Kana,Dec-92,0,35,25,TJS,199,3
Kana,Dec-92,0,35,1,TJS,199,3
Kana,Dec-92,0,36,26,TJS,47,1
Kana,Dec-92,0,36,38,TJS,47,1
Kana,Dec-92,0,36,22,TJS,47,1
Kana,Dec-92,0,37,1,TJS,36,1
Kana,Dec-92,0,37,16,TJS,36,1
Kana,Dec-92,0,37,36,TJS,36,1
Kana,Dec-92,0,37,22,TJS,36,1
Kana,Dec-92,0,37,18,TJS,36,1
Kana,Dec-92,0,37,1,TJS,36,1
Kana,Dec-92,0,38,12,TJS,22,0
Kana,Dec-92,0,38,10,TJS,22,0
Kana,Dec-92,0,38,65,TJS,22,0
Kana,Dec-92,0,38,18,TJS,22,0
Kana,Dec-92,0,39,9,TJS,10,0
Kana,Dec-92,0,39,32,TJS,10,0
Kana,Dec-92,0,39,28,TJS,10,0
Kana,Dec-92,0,39,22,TJS,10,0
Kana,Dec-92,0,39,62,TJS,10,0
Kana,Dec-92,0,39,26,TJS,10,0
Kana,Dec-92,0,40,100,TJS,0,0
Kana,Dec-92,0,40,45,TJS,0,0
Kana,Dec-92,0,40,70,TJS,0,0
Kana,Dec-92,0,40,75,TJS,0,0
Kana,Dec-92,0,40,38,TJS,0,0
Kana,Dec-92,0,41,35,TJS,-18,0
Kana,Dec-92,0,41,38,TJS,-18,0
Kana,Dec-92,0,41,41,TJS,-18,0
Kana,Dec-92,0,41,45,TJS,-18,0
Kana,Apr-93,0,1,18,TJS,28,0
Kana,Apr-93,0,1,45,TJS,28,0
Kana,Apr-93,0,1,95,TJS,28,0
Kana,Apr-93,0,1,105,TJS,28,0
Kana,Apr-93,0,1,35,TJS,28,0
Kana,Apr-93,0,1,75,TJS,28,0
Kana,Apr-93,0,2,85,TJS,44,1
Kana,Apr-93,0,2,75,TJS,44,1
Kana,Apr-93,0,2,110,TJS,44,1
Kana,Apr-93,0,2,52,TJS,44,1
Kana,Apr-93,0,3,130,TJS,53,1
Kana,Apr-93,0,3,60,TJS,53,1
Kana,Apr-93,0,3,32,TJS,53,1
Kana,Apr-93,0,3,49,TJS,53,1
Kana,Apr-93,0,3,110,TJS,53,1
Kana,Apr-93,0,4,32,TJS,63,1
Kana,Apr-93,0,4,16,TJS,63,1
Kana,Apr-93,0,4,110,TJS,63,1
Kana,Apr-93,0,4,95,TJS,63,1
Kana,Apr-93,0,4,28,TJS,63,1
Kana,Apr-93,0,4,32,TJS,63,1
Kana,Apr-93,0,4,48,TJS,63,1
Kana,Apr-93,0,5,105,TJS,73,1
Kana,Apr-93,0,5,85,TJS,73,1
Kana,Apr-93,0,5,130,TJS,73,1
Kana,Apr-93,0,5,48,TJS,73,1
Kana,Apr-93,0,5,55,TJS,73,1
Kana,Apr-93,0,5,36,TJS,73,1
Kana,Apr-93,0,5,41,TJS,73,1
Kana,Apr-93,0,6,47,TJS,86,1
Kana,Apr-93,0,6,49,TJS,86,1
Kana,Apr-93,0,6,39,TJS,86,1
Kana,Apr-93,0,6,52,TJS,86,1
Kana,Apr-93,0,6,85,TJS,86,1
Kana,Apr-93,0,6,78,TJS,86,1
Kana,Apr-93,0,6,24,TJS,86,1
Kana,Apr-93,0,6,42,TJS,86,1
Kana,Apr-93,0,7,32,TJS,98,2
Kana,Apr-93,0,7,19,TJS,98,2
Kana,Apr-93,0,7,33,TJS,98,2
Kana,Apr-93,0,7,33,TJS,98,2
Kana,Apr-93,0,7,78,TJS,98,2
Kana,Apr-93,0,7,78,TJS,98,2
Kana,Apr-93,0,7,35,TJS,98,2
Kana,Apr-93,0,7,42,TJS,98,2
Kana,Apr-93,0,7,43,TJS,98,2
Kana,Apr-93,0,7,37,TJS,98,2
Kana,Apr-93,0,7,27,TJS,98,2
Kana,Apr-93,0,7,27,TJS,98,2
Kana,Apr-93,0,8,65,TJS,108,2
Kana,Apr-93,0,8,110,TJS,108,2
Kana,Apr-93,0,8,68,TJS,108,2
Kana,Apr-93,0,8,46,TJS,108,2
Kana,Apr-93,0,8,52,TJS,108,2
Kana,Apr-93,0,9,62,TJS,117,2
Kana,Apr-93,0,9,28,TJS,117,2
Kana,Apr-93,0,9,79,TJS,117,2
Kana,Apr-93,0,9,95,TJS,117,2
Kana,Apr-93,0,9,120,TJS,117,2
Kana,Apr-93,0,9,44,TJS,117,2
Kana,Apr-93,0,10,105,TJS,127,2
Kana,Apr-93,0,10,22,TJS,127,2
Kana,Apr-93,0,10,43,TJS,127,2
Kana,Apr-93,0,10,62,TJS,127,2
Kana,Apr-93,0,10,43,TJS,127,2
Kana,Apr-93,0,10,42,TJS,127,2
Kana,Apr-93,0,10,58,TJS,127,2
Kana,Apr-93,0,11,90,TJS,140,2
Kana,Apr-93,0,11,85,TJS,140,2
Kana,Apr-93,0,11,38,TJS,140,2
Kana,Apr-93,0,11,42,TJS,140,2
Kana,Apr-93,0,11,78,TJS,140,2
Kana,Apr-93,0,11,68,TJS,140,2
Kana,Apr-93,0,11,95,TJS,140,2
Kana,Apr-93,0,12,88,TJS,213,4
Kana,Apr-93,0,12,46,TJS,213,4
Kana,Apr-93,0,12,17,TJS,213,4
Kana,Apr-93,0,12,85,TJS,213,4
Kana,Apr-93,0,12,52,TJS,213,4
Kana,Apr-93,0,12,2,TJS,213,4
Kana,Apr-93,0,12,36,TJS,213,4
Kana,Apr-93,0,13,34,TJS,299,5
Kana,Apr-93,0,13,46,TJS,299,5
Kana,Apr-93,0,13,28,TJS,299,5
Kana,Apr-93,0,13,21,TJS,299,5
Kana,Apr-93,0,13,82,TJS,299,5
Kana,Apr-93,0,13,65,TJS,299,5
Kana,Apr-93,0,13,80,TJS,299,5
Kana,Apr-93,0,13,17,TJS,299,5
Kana,Apr-93,0,14,28,TJS,289,5
Kana,Apr-93,0,14,17,TJS,289,5
Kana,Apr-93,0,14,95,TJS,289,5
Kana,Apr-93,0,14,100,TJS,289,5
Kana,Apr-93,0,14,62,TJS,289,5
Kana,Apr-93,0,15,42,TJS,270,4
Kana,Apr-93,0,15,48,TJS,270,4
Kana,Apr-93,0,15,32,TJS,270,4
Kana,Apr-93,0,15,53,TJS,270,4
Kana,Apr-93,0,15,95,TJS,270,4
Kana,Apr-93,0,16,75,TJS,259,4
Kana,Apr-93,0,16,35,TJS,259,4
Kana,Apr-93,0,16,40,TJS,259,4
Kana,Apr-93,0,16,26,TJS,259,4
Kana,Apr-93,0,17,41,TJS,247,4
Kana,Apr-93,0,17,75,TJS,247,4
Kana,Apr-93,0,17,35,TJS,247,4
Kana,Apr-93,0,17,100,TJS,247,4
Kana,Apr-93,0,17,48,TJS,247,4
Kana,Apr-93,0,18,60,TJS,235,4
Kana,Apr-93,0,18,48,TJS,235,4
Kana,Apr-93,0,18,35,TJS,235,4
Kana,Apr-93,0,18,120,TJS,235,4
Kana,Apr-93,0,18,21,TJS,235,4
Kana,Apr-93,0,18,95,TJS,235,4
Kana,Apr-93,0,18,47,TJS,235,4
Kana,Apr-93,0,19,41,TJS,223,4
Kana,Apr-93,0,19,68,TJS,223,4
Kana,Apr-93,0,19,18,TJS,223,4
Kana,Apr-93,0,19,85,TJS,223,4
Kana,Apr-93,0,19,38,TJS,223,4
Kana,Apr-93,0,19,47,TJS,223,4
Kana,Apr-93,0,19,52,TJS,223,4
Kana,Apr-93,0,19,27,TJS,223,4
Kana,Apr-93,0,20,65,TJS,212,4
Kana,Apr-93,0,20,46,TJS,212,4
Kana,Apr-93,0,20,48,TJS,212,4
Kana,Apr-93,0,20,45,TJS,212,4
Kana,Apr-93,0,20,75,TJS,212,4
Kana,Apr-93,0,20,14,TJS,212,4
Kana,Apr-93,0,21,17,TJS,199,3
Kana,Apr-93,0,21,17,TJS,199,3
Kana,Apr-93,0,21,18,TJS,199,3
Kana,Apr-93,0,21,32,TJS,199,3
Kana,Apr-93,0,21,34,TJS,199,3
Kana,Apr-93,0,21,8,TJS,199,3
Kana,Apr-93,0,22,37,TJS,189,3
Kana,Apr-93,0,22,26,TJS,189,3
Kana,Apr-93,0,22,95,TJS,189,3
Kana,Apr-93,0,22,22,TJS,189,3
Kana,Apr-93,0,22,95,TJS,189,3
Kana,Apr-93,0,22,28,TJS,189,3
Kana,Apr-93,0,23,110,TJS,178,3
Kana,Apr-93,0,23,38,TJS,178,3
Kana,Apr-93,0,23,7,TJS,178,3
Kana,Apr-93,0,23,95,TJS,178,3
Kana,Apr-93,0,23,80,TJS,178,3
Kana,Apr-93,0,23,85,TJS,178,3
Kana,Apr-93,0,23,46,TJS,178,3
Kana,Apr-93,0,24,14,TJS,167,3
Kana,Apr-93,0,24,39,TJS,167,3
Kana,Apr-93,0,24,51,TJS,167,3
Kana,Apr-93,0,24,48,TJS,167,3
Kana,Apr-93,0,24,32,TJS,167,3
Kana,Apr-93,0,24,11,TJS,167,3
Kana,Apr-93,0,24,52,TJS,167,3
Kana,Apr-93,0,24,8,TJS,167,3
Kana,Apr-93,0,25,38,TJS,236,4
Kana,Apr-93,0,25,85,TJS,236,4
Kana,Apr-93,0,25,24,TJS,236,4
Kana,Apr-93,0,25,90,TJS,236,4
Kana,Apr-93,0,25,32,TJS,236,4
Kana,Apr-93,0,26,46,TJS,223,4
Kana,Apr-93,0,26,52,TJS,223,4
Kana,Apr-93,0,26,68,TJS,223,4
Kana,Apr-93,0,26,26,TJS,223,4
Kana,Apr-93,0,27,26,TJS,210,4
Kana,Apr-93,0,27,48,TJS,210,4
Kana,Apr-93,0,27,75,TJS,210,4
Kana,Apr-93,0,27,62,TJS,210,4
Kana,Apr-93,0,27,26,TJS,210,4
Kana,Apr-93,0,27,70,TJS,210,4
Kana,Apr-93,0,27,14,TJS,210,4
Kana,Apr-93,0,27,17,TJS,210,4
Kana,Apr-93,0,28,10,TJS,197,3
Kana,Apr-93,0,28,26,TJS,197,3
Kana,Apr-93,0,28,35,TJS,197,3
Kana,Apr-93,0,28,16,TJS,197,3
Kana,Apr-93,0,28,42,TJS,197,3
Kana,Apr-93,0,28,90,TJS,197,3
Kana,Apr-93,0,28,65,TJS,197,3
Kana,Apr-93,0,29,49,TJS,182,3
Kana,Apr-93,0,29,42,TJS,182,3
Kana,Apr-93,0,29,36,TJS,182,3
Kana,Apr-93,0,29,85,TJS,182,3
Kana,Apr-93,0,29,75,TJS,182,3
Kana,Apr-93,0,29,49,TJS,182,3
Kana,Apr-93,0,30,26,TJS,171,3
Kana,Apr-93,0,30,35,TJS,171,3
Kana,Apr-93,0,30,44,TJS,171,3
Kana,Apr-93,0,30,27,TJS,171,3
Kana,Apr-93,0,30,42,TJS,171,3
Kana,Apr-93,0,30,39,TJS,171,3
Kana,Apr-93,0,30,51,TJS,171,3
Kana,Apr-93,0,30,67,TJS,171,3
Kana,Apr-93,0,31,26,TJS,160,3
Kana,Apr-93,0,31,39,TJS,160,3
Kana,Apr-93,0,31,21,TJS,160,3
Kana,Apr-93,0,31,52,TJS,160,3
Kana,Apr-93,0,31,87,TJS,160,3
Kana,Apr-93,0,31,75,TJS,160,3
Kana,Apr-93,0,32,27,TJS,145,2
Kana,Apr-93,0,32,28,TJS,145,2
Kana,Apr-93,0,32,65,TJS,145,2
Kana,Apr-93,0,32,17,TJS,145,2
Kana,Apr-93,0,32,85,TJS,145,2
Kana,Apr-93,0,32,21,TJS,145,2
Kana,Apr-93,0,32,28,TJS,145,2
Kana,Apr-93,0,33,29,TJS,134,2
Kana,Apr-93,0,33,38,TJS,134,2
Kana,Apr-93,0,33,47,TJS,134,2
Kana,Apr-93,0,33,52,TJS,134,2
Kana,Apr-93,0,33,62,TJS,134,2
Kana,Apr-93,0,33,41,TJS,134,2
Kana,Apr-93,0,34,38,TJS,123,2
Kana,Apr-93,0,34,19,TJS,123,2
Kana,Apr-93,0,34,68,TJS,123,2
Kana,Apr-93,0,34,21,TJS,123,2
Kana,Apr-93,0,34,26,TJS,123,2
Kana,Apr-93,0,34,30,TJS,123,2
Kana,Apr-93,0,34,110,TJS,123,2
Kana,Apr-93,0,34,76,TJS,123,2
Kana,Apr-93,0,34,47,TJS,123,2
Kana,Apr-93,0,34,52,TJS,123,2
Kana,Apr-93,0,35,32,TJS,112,2
Kana,Apr-93,0,35,21,TJS,112,2
Kana,Apr-93,0,35,47,TJS,112,2
Kana,Apr-93,0,35,3,TJS,112,2
Kana,Apr-93,0,35,2,TJS,112,2
Kana,Apr-93,0,35,2,TJS,112,2
Kana,Apr-93,0,35,17,TJS,112,2
Kana,Apr-93,0,35,72,TJS,112,2
Kana,Apr-93,0,35,78,TJS,112,2
Kana,Apr-93,0,35,40,TJS,112,2
Kana,Apr-93,0,36,55,TJS,46,1
Kana,Apr-93,0,36,70,TJS,46,1
Kana,Apr-93,0,36,75,TJS,46,1
Kana,Apr-93,0,36,72,TJS,46,1
